date,state_territory,state,population_estimate,positive_increase,total_tests_viral,positive_cases_viral,total_test_encounters_viral,rate_of_new_cases,rate_of_pcr_tests,percent_positivity,new_case_moving_ave,pcr_test_moving_ave,percent_positivity_moving_ave
2020-07-08,Colorado,CO,5695564,407,NA,31736,444462,7.145912151983543,7803.652105392898,0.07140317957440681,6.451135856406345,7836.191213272043,0.07144268816456326
2020-07-07,Colorado,CO,5695564,192,NA,31368,438272,3.3710445532698783,7694.971033597375,0.0715719918224299,5.45035700465435,7700.639605539629,0.07189717852392485
2020-07-06,Colorado,CO,5695564,199,NA,31168,431701,3.4939472192745087,7579.600545266456,0.07219811860523835,5.234650284727855,7573.7187748219485,0.07241245782268727
2020-07-05,Colorado,CO,5695564,247,NA,30970,424954,4.336708357591979,7461.139932761706,0.07287847625860681,4.888516245776037,7448.36808836792,0.07296436408195735
2020-07-04,Colorado,CO,5695564,267,NA,30722,418257,4.6878588318909244,7343.557196442705,0.07345244670142999,4.379348058042566,7323.343470211454,0.07356790303377231
2020-07-03,Colorado,CO,5695564,323,NA,30453,410323,5.671080159927972,7204.2558032883135,0.07421714113028029,4.409446670125332,7199.289532294657,0.07423766280574699
2020-07-02,Colorado,CO,5695564,314,NA,30133,401617,5.513062446493446,7051.400001825983,0.0750291944813093,4.625153390051827,7078.0172077778425,0.0749079843479082
2020-07-01,Colorado,CO,5695564,204,NA,29844,394616,3.5817348378492455,6928.479778297636,0.07562795223711152,4.572480818906986,6954.467421613433,0.07559769395489532
2020-06-30,Colorado,CO,5695564,204,NA,29651,388813,3.5817348378492455,6826.593468179798,0.07626031022625272,4.6978917025851805,6826.342646412441,0.07637665217155046
2020-06-29,Colorado,CO,5695564,285,NA,29476,383351,5.003894258759975,6730.694273648756,0.07689036940036677,4.700399920258745,6699.963590712251,0.07715476646575445
2020-06-28,Colorado,CO,5695564,226,NA,29194,375696,3.968000359578086,6596.291429610835,0.07770644350751671,4.569972601233422,6574.635478217284,0.07796319357901543
2020-06-27,Colorado,CO,5695564,317,NA,28972,367175,5.565735017638288,6446.683770035769,0.07890515421801593,4.529841118456399,6451.1132824472825,0.07879809759836907
2020-06-26,Colorado,CO,5695564,324,NA,28674,359937,5.688637683642919,6319.60241338698,0.0796639411897082,4.434528846860971,6331.827466327931,0.0796080440078367
2020-06-25,Colorado,CO,5695564,262,NA,28374,351650,4.6000712133161885,6174.103214361212,0.08068818427413621,4.196248167872401,6210.595273293893,0.08047811461602218
2020-06-24,Colorado,CO,5695564,188,NA,28138,345369,3.300814458410089,6063.824407907628,0.081472280372587,4.035722236764312,6094.4246635251075,0.08135120589465569
2020-06-23,Colorado,CO,5695564,166,NA,27959,341255,2.914548936681249,5991.592755344334,0.08192993509252612,3.9579674888838308,5982.028921355036,0.08224496878632187
2020-06-22,Colorado,CO,5695564,190,NA,27800,335017,3.3359295058399834,5882.0689224104935,0.08298086365766513,3.7171785922216967,5868.7377454755015,0.08321722866835633
2020-06-21,Colorado,CO,5695564,162,NA,27608,329380,2.8443188418214596,5783.097161229336,0.0838180824579513,3.6394238443412155,5759.923738143279,0.0842040798156525
2020-06-20,Colorado,CO,5695564,286,NA,27453,322364,5.021451782474922,5659.913574845265,0.08516149445967912,3.5265540490308402,5649.762817920352,0.08526337416393318
2020-06-19,Colorado,CO,5695564,228,NA,27218,314769,4.00311540700798,5526.564182230241,0.08646976036394943,3.5340787020515316,5538.681381811228,0.0863868386620045
2020-06-18,Colorado,CO,5695564,231,NA,27003,308267,4.055787978152822,5412.4051630356535,0.08759614230520944,3.340945941187112,5430.293771483512,0.08751717275183322
2020-06-17,Colorado,CO,5695564,143,NA,26795,301449,2.510725891237461,5292.697966347143,0.0888873408105517,3.4237171244147206,5321.264057431363,0.0887380762729413
2020-06-16,Colorado,CO,5695564,169,NA,26666,296968,2.9672215078260904,5214.022702580464,0.08979418657902535,3.145304962649128,5211.308811057668,0.09135507206719051
2020-06-15,Colorado,CO,5695564,113,NA,26523,291804,1.984000179789043,5123.355650116477,0.09089320228646626,2.9446475487640162,5106.367491813428,0.0926321176224963
2020-06-14,Colorado,CO,5695564,195,NA,26408,285911,3.4237171244147198,5019.889162864292,0.09236440710570772,2.746498352552468,5004.187720227782,0.09395666916389375
2020-06-13,Colorado,CO,5695564,175,NA,28822,278526,3.0725666501157747,4890.226850229406,0.10348046501942368,2.79917092369731,4906.136474932822,0.09529986833087728
2020-06-12,Colorado,CO,5695564,148,NA,26040,272930,2.5985135098121974,4791.974947520562,0.09540907925109002,2.8317777534536406,4807.302665723711,0.09668607033335318
2020-06-11,Colorado,CO,5695564,152,NA,25915,267529,2.668743604671987,4697.146761936132,0.09686800309499156,2.9321064603961964,4708.225559400264,0.09811540183641425
2020-06-10,Colorado,CO,5695564,164,NA,25787,262357,2.879433889251354,4606.339249282424,0.09828973497943641,3.0274187319916246,4610.4702837907835,0.09956794722395257
2020-06-09,Colorado,CO,5695564,182,NA,25627,257564,3.195469316120405,4522.186038116682,0.09949760059635664,3.2280761458767366,4516.966437137995,0.09964768071313827
2020-06-08,Colorado,CO,5695564,153,NA,25457,252303,2.686301128386934,4429.815905852344,0.10089852280789369,3.6093252322584486,4420.9919960767465,0.10114447859880417
2020-06-07,Colorado,CO,5695564,233,NA,25319,246937,4.090903025582716,4335.602233597937,0.10253222481847597,3.910311353086116,4317.75626485053,0.10280357662377389
2020-06-06,Colorado,CO,5695564,255,NA,25099,241247,4.477168547311557,4235.699923659887,0.10403859944372365,4.02819758374362,4215.305605756139,0.10444086552653077
2020-06-05,Colorado,CO,5695564,300,NA,24848,234666,5.267257114484185,4120.153860091818,0.10588666445075127,4.070837284194206,4116.36143496939,0.10601734078892396
2020-06-04,Colorado,CO,5695564,272,NA,24557,226370,4.77564645046566,3974.496643352616,0.10848168926977957,4.389380928736821,4017.8311200987796,0.10766413228500246
2020-06-03,Colorado,CO,5695564,211,NA,24311,221511,3.7046375038538764,3889.1846356216874,0.1097507572987346,5.021451782474922,3913.8680057472293,0.10947018713040255
2020-06-02,Colorado,CO,5695564,199,NA,24109,218116,3.4939472192745087,3829.576842609441,0.11053292743310898,5.615899371109566,3809.872284565923,0.11117677057198486
2020-06-01,Colorado,CO,5695564,280,NA,23949,213020,4.916106640185238,3740.1037017580697,0.11242606328044315,5.751343125482017,3702.5306010080826,0.11299461278049983
2020-05-31,Colorado,CO,5695564,485,NA,23667,205488,8.515399001749431,3607.860433137087,0.11517460873627657,5.575767888332544,3597.9931048092867,0.11485431112414056
2020-05-30,Colorado,CO,5695564,492,NA,23172,199785,8.638301667754064,3507.729875390743,0.1159846835347999,5.788966390585476,3494.506551815714,0.11677638727735819
2020-05-29,Colorado,CO,5695564,354,NA,22758,191870,6.215363395091338,3368.7620751869354,0.11861155991035598,5.528111752534831,3389.063589036761,0.11878743417839781
2020-05-28,Colorado,CO,5695564,202,NA,22440,184692,3.546619790419351,3242.734169961043,0.12149957767526476,5.352536515385358,3286.286861644807,0.12087557971008857
